2025-05-05 at 18:06:31 | INFO | Application is built
2025-05-05 at 18:07:38 | INFO | Application is built
2025-05-05 at 18:07:39 | INFO | Бот успешно запущен.
2025-05-05 at 18:07:39 | INFO | Бот остановлен!
2025-05-05 at 18:08:20 | INFO | Application is built
2025-05-05 at 18:08:20 | INFO | Бот успешно запущен.
2025-05-05 at 18:08:20 | INFO | Бот остановлен!
2025-05-05 at 18:10:35 | INFO | Application is built
2025-05-05 at 18:10:35 | INFO | Бот успешно запущен.
2025-05-05 at 18:10:35 | INFO | Бот остановлен!
2025-05-05 at 18:13:25 | INFO | Application is built
2025-05-05 at 18:13:25 | INFO | Бот успешно запущен.
2025-05-05 at 18:13:25 | INFO | Бот остановлен!
2025-05-06 at 09:53:18 | INFO | Application is built
2025-05-06 at 09:53:18 | INFO | Бот успешно запущен.
2025-05-06 at 09:53:18 | INFO | Бот остановлен!
2025-05-06 at 11:02:39 | INFO | Бот успешно запущен.
2025-05-06 at 11:04:34 | INFO | Бот остановлен!
2025-05-06 at 11:26:18 | INFO | Бот успешно запущен.
2025-05-06 at 11:30:51 | INFO | Бот остановлен!
2025-05-06 at 11:30:56 | INFO | Бот успешно запущен.
2025-05-06 at 11:31:18 | INFO | Бот остановлен!
2025-05-06 at 11:31:29 | INFO | Бот успешно запущен.
2025-05-06 at 11:37:09 | INFO | Бот остановлен!
2025-05-06 at 11:37:41 | INFO | Application is built
2025-05-06 at 11:42:32 | INFO | Application is built
2025-05-06 at 11:42:33 | INFO | Бот успешно запущен.
2025-05-06 at 11:43:16 | INFO | Бот остановлен!
2025-05-06 at 11:45:27 | INFO | Application is built
2025-05-06 at 11:45:28 | INFO | Бот успешно запущен.
2025-05-06 at 11:45:41 | INFO | Бот остановлен!
2025-05-06 at 12:01:11 | INFO | Бот успешно запущен.
2025-05-06 at 12:01:48 | INFO | Бот остановлен!
2025-05-06 at 12:24:39 | INFO | Бот успешно запущен.
2025-05-06 at 16:58:17 | INFO | Бот остановлен!
2025-05-06 at 17:19:03 | INFO | Бот успешно запущен.
2025-05-06 at 17:19:29 | INFO | Бот остановлен!
2025-05-06 at 17:21:07 | INFO | Бот успешно запущен.
2025-05-06 at 17:21:19 | INFO | Бот остановлен!
2025-05-06 at 17:44:42 | INFO | Бот успешно запущен.
2025-05-06 at 17:46:09 | INFO | Бот остановлен!
2025-05-06 at 17:46:15 | INFO | Бот успешно запущен.
2025-05-06 at 17:47:04 | INFO | Бот остановлен!
2025-05-06 at 17:48:46 | INFO | Бот успешно запущен.
2025-05-06 at 17:52:11 | INFO | Бот остановлен!
2025-05-06 at 17:52:36 | INFO | Бот успешно запущен.
2025-05-06 at 17:52:52 | INFO | Бот остановлен!
2025-05-06 at 18:04:19 | INFO | Бот успешно запущен.
2025-05-06 at 18:04:26 | INFO | Вызов команды /start
2025-05-06 at 18:04:48 | INFO | Вызов команды /employees
2025-05-06 at 18:04:51 | INFO | Вызов команды /tasks
2025-05-06 at 18:04:56 | INFO | Вызов команды /messages
2025-05-06 at 18:05:28 | INFO | Бот остановлен!
2025-05-06 at 18:05:45 | INFO | Бот успешно запущен.
2025-05-06 at 18:05:56 | INFO | Вызов команды /start
2025-05-06 at 18:06:05 | INFO | Бот остановлен!
2025-05-06 at 18:11:29 | INFO | Бот успешно запущен.
2025-05-06 at 18:11:32 | INFO | Вызов команды /start
2025-05-06 at 18:11:45 | INFO | Бот остановлен!
2025-05-07 at 12:38:53 | INFO | Бот успешно запущен.
2025-05-07 at 12:39:10 | INFO | Вызов команды /start
2025-05-07 at 12:39:16 | INFO | Вызов команды /tasks
2025-05-07 at 12:39:56 | INFO | Вызов команды /tasks
2025-05-07 at 12:41:13 | INFO | Вызов команды /tasks
2025-05-07 at 12:41:21 | INFO | Бот остановлен!
2025-05-07 at 12:41:29 | INFO | Бот успешно запущен.
2025-05-07 at 12:41:42 | INFO | Вызов команды /tasks
2025-05-07 at 12:41:47 | INFO | Вызов команды /tasks
2025-05-07 at 12:42:40 | INFO | Бот остановлен!
2025-05-07 at 12:42:45 | INFO | Бот успешно запущен.
2025-05-07 at 12:42:52 | INFO | Вызов команды /start
2025-05-07 at 12:44:17 | INFO | Бот остановлен!
2025-05-07 at 12:44:22 | INFO | Бот успешно запущен.
2025-05-07 at 12:44:26 | INFO | Вызов команды /start
2025-05-07 at 12:46:21 | INFO | Бот остановлен!
2025-05-07 at 12:46:33 | INFO | Бот успешно запущен.
2025-05-07 at 12:46:48 | INFO | Вызов команды /start
2025-05-07 at 12:47:39 | INFO | Бот остановлен!
2025-05-07 at 12:47:45 | INFO | Бот успешно запущен.
2025-05-07 at 12:48:06 | INFO | Бот остановлен!
2025-05-07 at 12:48:12 | INFO | Бот успешно запущен.
2025-05-07 at 12:48:15 | INFO | Вызов команды /start
2025-05-07 at 12:49:28 | INFO | Бот остановлен!
2025-05-07 at 12:49:34 | INFO | Бот успешно запущен.
2025-05-07 at 12:49:41 | INFO | Вызов команды /start
2025-05-07 at 12:55:39 | INFO | Бот остановлен!
2025-05-07 at 12:55:46 | INFO | Бот успешно запущен.
2025-05-07 at 12:55:50 | INFO | Вызов команды /start
2025-05-07 at 12:55:52 | INFO | Вызов команды /employees
2025-05-07 at 12:55:56 | INFO | Вызов команды /messages
2025-05-07 at 12:56:13 | INFO | Вызов команды /start
2025-05-07 at 12:56:50 | INFO | Бот остановлен!
2025-05-07 at 12:56:57 | INFO | Бот успешно запущен.
2025-05-07 at 12:57:02 | INFO | Вызов команды /start
